,name,online_order,book_table,rate,votes,location,rest_type,cuisines,approx_cost(for two people),listed_in(type)
48440,eat.fit,Yes,Yes,4.1,121,Church Street,Quick Bites,"Healthy Food, North Indian, Biryani, Continental, Desserts",300,Dine-out
48442,Kentacky Chicken Corner,No,No,4.0,109,Richmond Road,Quick Bites,"Andhra, South Indian",300,Dine-out
48446,Chetty's Coffee,Yes,No,3.6,20,MG Road,Quick Bites,South Indian,200,Dine-out
48448,KFC,Yes,No,3.8,201,Brigade Road,Quick Bites,"Burger, Fast Food",450,Dine-out
48451,Koshy's,No,No,3.6,55,Richmond Road,"Bakery, Quick Bites","Bakery, Fast Food",300,Dine-out
48452,Hotel Fanoos,Yes,No,4.0,790,Richmond Road,Quick Bites,"Arabian, Biryani, Rolls, Kebab",400,Dine-out
48459,Mathsya Darshini,No,No,3.2,58,Lavelle Road,Quick Bites,"Seafood, Mangalorean",350,Dine-out
48460,Taste Of Tibet,No,No,4.1,343,Brigade Road,Quick Bites,"Tibetan, Chinese, Momos",300,Dine-out
48462,McDonald's,Yes,No,3.9,119,MG Road,Quick Bites,"Burger, Fast Food",500,Dine-out
48465,WOW! Momo,Yes,No,3.6,125,Brigade Road,"Food Court, Quick Bites","Tibetan, Momos",400,Dine-out
48474,Subway,No,No,2.8,64,Brigade Road,Quick Bites,"Healthy Food, Sandwich, Salad",500,Dine-out
48477,Donne Biriyani Mane,Yes,No,3.4,64,Church Street,Quick Bites,"Biryani, Kebab",400,Dine-out
48478,Hushy's Kitchen,Yes,No,3.5,59,Shanti Nagar,Quick Bites,Fast Food,300,Dine-out
48491,Khan Saheb Grills and Rolls,Yes,No,3.4,25,Langford Town,Quick Bites,"Fast Food, Rolls",400,Dine-out
48492,Chilli Chicken,Yes,No,3.0,8,Brigade Road,Quick Bites,Fast Food,500,Dine-out
48558,Burger King,Yes,No,3.6,91,Brigade Road,Food Court,"Burger, Fast Food, Beverages",600,Dine-out
48559,Shawarma Inc,Yes,No,3.1,29,Brigade Road,Food Court,"Rolls, Lebanese",250,Dine-out
48562,Hammered,Yes,Yes,4.6,4841,Cunningham Road,"Pub, Cafe","North Indian, Thai, Japanese, Continental, Cafe",1300,Dine-out
48563,Caraway Kitchen - Conrad Bengaluru,No,Yes,4.3,166,Ulsoor,Fine Dining,"American, Continental, North Indian, South Indian",2800,Dine-out
48564,Tiamo - Conrad Bengaluru,No,Yes,4.2,145,Ulsoor,Fine Dining,"Italian, Mediterranean",2500,Dine-out
48565,Barbeque Nation,No,Yes,4.4,1086,Ulsoor,Casual Dining,"North Indian, European, Mediterranean, BBQ, Kebab",1600,Dine-out
48566,Eden Park,Yes,Yes,4.1,637,Cunningham Road,Casual Dining,"Andhra, Biryani, Chinese, North Indian, Seafood, South Indian",1100,Dine-out
48567,Pasta Street,Yes,Yes,4.5,1648,Cunningham Road,Casual Dining,"Italian, Pizza, Salad",1300,Dine-out
48568,Samrat Restaurant,No,No,4.1,493,Race Course Road,Casual Dining,"South Indian, North Indian",600,Dine-out
48570,Ente Keralam,Yes,No,4.0,1106,Ulsoor,Casual Dining,"Kerala, Seafood",1300,Dine-out
48572,Dolci Desserts,Yes,No,4.3,658,Cunningham Road,"Cafe, Dessert Parlor","Cafe, Desserts",750,Dine-out
48573,The Culinarium,No,No,4.0,38,Vasanth Nagar,"Cafe, Dessert Parlor","Cafe, Desserts, Beverages",1100,Dine-out
48575,Mikusu - Conrad Bengaluru,No,Yes,4.2,83,Ulsoor,Fine Dining,"Japanese, Chinese, Thai",3000,Dine-out
48576,Cafe Kaara,No,No,4.3,167,Ulsoor,Cafe,"Cafe, Salad, Desserts, Pizza",750,Dine-out
48577,Skylit - Citrus Hotels,No,Yes,4.1,329,Cunningham Road,Lounge,"North Indian, Mughlai, Mediterranean",1300,Dine-out
