,name,online_order,book_table,rate,votes,location,rest_type,cuisines,approx_cost(for two people),listed_in(type)
21300,Nourich,Yes,Yes,3.9,0,JP Nagar,Casual Dining,"Continental, Chinese, North Indian, Asian, Healthy Food, Fast Food",800,Dine-out
21301,Crumb Together,Yes,Yes,4.1,591,JP Nagar,"Casual Dining, Bar","Continental, Finger Food, North Indian, Chinese",1200,Dine-out
21302,Jalsa,Yes,Yes,4.1,783,Banashankari,Casual Dining,"North Indian, Mughlai, Chinese",800,Dine-out
21303,Checkpost,Yes,No,4.0,960,JP Nagar,Casual Dining,"South Indian, Seafood, North Indian, Beverages",600,Dine-out
21304,Baba Chatkora,Yes,No,3.7,0,JP Nagar,Casual Dining,North Indian,1000,Dine-out
21305,Nandhana Palace,No,Yes,4.3,1083,JP Nagar,"Casual Dining, Bar","Andhra, Biryani, North Indian, Chinese",800,Dine-out
21306,Dr. Sheesha,No,Yes,4.2,1466,JP Nagar,Cafe,"Cafe, Chinese, Continental, Italian",800,Dine-out
21307,The Rogue Elephant,No,Yes,4.3,1038,Basavanagudi,Casual Dining,"Desserts, Asian, Beverages",1000,Dine-out
21308,Malabar Bay,Yes,Yes,4.1,1542,BTM,Casual Dining,"Kerala, Seafood, Chinese, Biryani, Juices",800,Dine-out
21309,Galito's,Yes,No,4.5,414,Bannerghatta Road,Casual Dining,"African, Burger",1000,Dine-out
21310,Wamama,Yes,Yes,4.2,361,Banashankari,Casual Dining,"Asian, Korean, Indonesian, Japanese, Chinese, Thai, Momos",800,Dine-out
21311,Bottle Breacher,No,Yes,4.1,1204,JP Nagar,"Casual Dining, Pub","Italian, Continental",1200,Dine-out
21312,Churchill's,Yes,Yes,4.1,1411,JP Nagar,"Casual Dining, Pub","North Indian, Continental",1100,Dine-out
21313,The Underpass Pub & Grub,No,No,4.0,726,JP Nagar,"Pub, Casual Dining","Finger Food, Continental, North Indian, Chinese",1500,Dine-out
21314,Vinny's,Yes,Yes,4.2,2130,Banashankari,Casual Dining,"Pizza, Italian, Continental, Desserts",800,Dine-out
21315,Rajdhani Thali Restaurant,Yes,Yes,4.0,889,JP Nagar,Casual Dining,North Indian,900,Dine-out
21316,Narmadha's Hyderabad Biriyani,No,No,3.9,206,BTM,Casual Dining,"Biryani, Hyderabadi",600,Dine-out
21317,BEIR,Yes,No,3.6,0,Bannerghatta Road,Casual Dining,"Mexican, American",800,Dine-out
21318,Oye Amritsar,Yes,Yes,3.8,768,JP Nagar,Casual Dining,North Indian,600,Dine-out
21319,Skyline Pizzeria,No,No,4.0,769,JP Nagar,"Cafe, Bakery","Cafe, Bakery, Italian",600,Dine-out
21320,Mockaholic Restro Beer Cafe,Yes,No,3.9,922,JP Nagar,Bar,"North Indian, Chinese, Pizza, BBQ",1000,Dine-out
21322,Coastal Mama,No,Yes,4.1,468,JP Nagar,Casual Dining,"Konkan, Mangalorean, North Indian, Seafood",700,Dine-out
21323,Zhang's - Chinese Restaurant,Yes,No,4.1,592,JP Nagar,Casual Dining,"Chinese, Momos",700,Dine-out
21324,Dadi's Dum Biryani,Yes,Yes,4.1,2727,BTM,Casual Dining,"Biryani, North Indian, Mughlai",800,Dine-out
21327,Caffe Pascucci,Yes,Yes,4.0,791,JP Nagar,Casual Dining,"Continental, Italian, Beverages",1300,Dine-out
21328,Watson's,Yes,Yes,4.0,1017,JP Nagar,"Pub, Bar","Finger Food, Chinese, Continental",1300,Dine-out
21330,The Jade Kitchen,Yes,No,3.9,118,JP Nagar,Casual Dining,"Chinese, Thai",600,Dine-out
21331,Punjabi Times,Yes,Yes,4.1,1028,Bannerghatta Road,Casual Dining,North Indian,1000,Dine-out
21332,D View Cafe,Yes,No,4.0,509,JP Nagar,"Cafe, Quick Bites","Cafe, Italian, Chinese, Beverages",1000,Dine-out
21333,Mandi,Yes,Yes,3.8,563,JP Nagar,Casual Dining,North Indian,800,Dine-out
21334,Crafted Plate,Yes,Yes,4.2,240,JP Nagar,"Casual Dining, Cafe","Cafe, Asian, Burger, Continental, Italian, Salad",600,Dine-out
21335,Vaathsalya Millet Cafe,Yes,Yes,4.1,294,JP Nagar,Casual Dining,"Healthy Food, South Indian",500,Dine-out
21336,Ruh's Cafe,Yes,No,4.1,465,BTM,Cafe,"Cafe, American, Italian, Continental, Chinese",500,Dine-out
21337,Onesta,Yes,Yes,4.3,4421,JP Nagar,"Casual Dining, Cafe","Pizza, Cafe, Italian",600,Dine-out
21338,Swad Restaurant,Yes,No,3.7,115,BTM,Casual Dining,"North Indian, Chinese, Seafood",500,Dine-out
21341,Chicken County Grand,Yes,No,3.9,324,Bannerghatta Road,Casual Dining,"North Indian, Chinese",650,Dine-out
21343,Casa Piccosa,Yes,Yes,4.1,848,JP Nagar,"Casual Dining, Bar","South American, Continental, Italian",1100,Dine-out
21344,J Spice,No,No,3.8,59,Banashankari,Casual Dining,"North Indian, Chinese",750,Dine-out
21345,Sri Guru Kottureshwara Davangere Benne Dosa,Yes,No,4.1,564,Basavanagudi,Quick Bites,South Indian,150,Dine-out
21346,Aramane Donne Biryani,Yes,No,3.7,0,JP Nagar,Quick Bites,"Biryani, Fast Food",300,Dine-out
21347,Namma Kudla,Yes,No,3.9,200,JP Nagar,Quick Bites,"Mangalorean, North Indian, Chinese, Seafood",400,Dine-out
21348,Mavalli Tiffin Room (MTR),No,No,4.2,875,JP Nagar,Quick Bites,South Indian,300,Dine-out
21349,Gujrati Mess,Yes,No,3.7,19,JP Nagar,Mess,Gujarati,200,Dine-out
21351,Anjappar,No,No,2.7,100,JP Nagar,Casual Dining,"Chettinad, South Indian",650,Dine-out
21352,Bhojohori Manna,Yes,No,3.8,666,JP Nagar,Casual Dining,"Bengali, Mughlai",650,Dine-out
21353,California Burrito,No,No,4.1,99,JP Nagar,Quick Bites,"Mexican, Fast Food",400,Dine-out
21354,Bohra Bohra Caf,Yes,No,3.6,52,JP Nagar,Quick Bites,Bohri,300,Dine-out
21355,Madeena Hotel,Yes,No,3.9,54,Bannerghatta Road,Quick Bites,"North Indian, Mughlai, Biryani",400,Dine-out
21356,Cafe Vivacity,Yes,No,3.8,91,Banashankari,Cafe,Cafe,650,Dine-out
21357,Sri Lakshmi Curries & Pickles,No,No,2.9,60,JP Nagar,Quick Bites,"Andhra, Biryani",400,Dine-out
21358,Kannur Food Point,No,No,4.0,139,BTM,Quick Bites,"Kerala, Chinese",200,Dine-out
21359,Royal Paris,Yes,No,3.9,71,BTM,Casual Dining,"North Indian, Arabian, Chinese",1000,Dine-out
21360,Crave Bit Cafe,No,No,3.7,0,JP Nagar,Cafe,Cafe,600,Dine-out
21361,TAB - Take A Break,No,No,4.1,523,JP Nagar,Cafe,"Cafe, Continental, Italian",550,Dine-out
21363,The Shawarma Shop,Yes,No,4.1,382,BTM,Quick Bites,Arabian,250,Dine-out
21364,Roving Feast,No,No,4.0,1050,Banashankari,Quick Bites,"Italian, Continental, Fast Food, Chinese, Momos",450,Dine-out
21365,Hara Fine Dine,Yes,Yes,4.0,634,Banashankari,Casual Dining,"North Indian, Chinese",800,Dine-out
21366,Savoury - Sea Shell Restaurant,Yes,Yes,3.9,1230,Bannerghatta Road,Casual Dining,"Arabian, North Indian, Chinese, Seafood, Biryani, Beverages",900,Dine-out
21367,Nouvelle Garden,No,No,3.7,203,JP Nagar,Casual Dining,"North Indian, Continental, Italian",900,Dine-out
21368,Biryani Nights,Yes,No,3.5,20,Bannerghatta Road,Quick Bites,"South Indian, North Indian, Chinese",400,Dine-out
21369,Wudfyr,Yes,No,3.8,0,JP Nagar,Quick Bites,"Fast Food, Italian, North Indian, Steak",700,Dine-out
21370,Shagun Sweets & Foods,Yes,No,3.6,221,BTM,"Sweet Shop, Quick Bites","Mithai, North Indian, Street Food, Chinese",400,Dine-out
21372,Black Cup Cafe,Yes,No,3.7,28,BTM,Cafe,"Cafe, Fast Food, Beverages",400,Dine-out
21375,The Paratha Stories,Yes,No,3.9,0,JP Nagar,Quick Bites,North Indian,250,Dine-out
21377,Modern Restaurant,Yes,No,3.0,18,BTM,Casual Dining,"North Indian, Chinese",450,Dine-out
21378,Spice Code,No,Yes,4.0,166,JP Nagar,Casual Dining,"South Indian, North Indian, Chinese, Biryani",1000,Dine-out
21380,Alfa Family Restaurant,No,No,3.0,30,Wilson Garden,Quick Bites,"North Indian, Arabian, Chinese",400,Dine-out
21381,Beijing Bites,No,No,4.0,99,JP Nagar,Casual Dining,"Chinese, Thai",850,Dine-out
21382,The Punjabi Rasoi,No,No,3.4,0,JP Nagar,Casual Dining,North Indian,800,Dine-out
21384,Roti Wala,Yes,No,4.2,200,BTM,Quick Bites,North Indian,300,Dine-out
21385,Maa'r Rannaghor,Yes,No,3.9,22,JP Nagar,Quick Bites,"Bengali, Chinese",400,Dine-out
21386,Sri Laxmi Venkateshwara Coffee Bar,No,No,4.4,344,Banashankari,Quick Bites,South Indian,100,Dine-out
21387,Messy Bowl,No,No,3.5,73,Banashankari,Quick Bites,"Fast Food, Beverages",500,Dine-out
21388,Royal Chef Naati Oota,No,No,4.0,194,JP Nagar,Casual Dining,"South Indian, Biryani, North Indian",500,Dine-out
21389,Swathi Restaurant,Yes,No,3.9,49,JP Nagar,Quick Bites,"Mangalorean, North Indian, Chinese",400,Dine-out
21390,Kirthi's Biryani,Yes,No,3.8,146,Banashankari,Cafe,"Chinese, Cafe, Italian",700,Dine-out
21391,Woody's,Yes,No,2.5,208,JP Nagar,Casual Dining,"Chinese, South Indian, North Indian",650,Dine-out
21392,The Krishna Grand,Yes,No,3.9,893,Banashankari,Casual Dining,"North Indian, South Indian, Chinese, Fast Food, Juices",750,Dine-out
21393,Desi Aahar,Yes,No,3.3,0,BTM,Quick Bites,"North Indian, Chinese, Seafood",400,Dine-out
21394,Namma Banashankari Donne Biryani,Yes,No,4.1,101,JP Nagar,Quick Bites,"Biryani, Kebab",250,Dine-out
21395,White Horse,No,No,3.8,179,JP Nagar,Quick Bites,"North Indian, Mangalorean, Chinese",400,Dine-out
21396,New Imperial Restaurant,No,No,3.7,41,Banashankari,Casual Dining,"North Indian, Chinese",450,Dine-out
21397,Coconut Grove,No,No,3.3,97,JP Nagar,"Casual Dining, Bar","South Indian, Chettinad, Kerala, Seafood",1100,Dine-out
21398,Marenahalli Donne Biriyani,Yes,No,4.0,263,JP Nagar,Quick Bites,"Biryani, Fast Food",300,Dine-out
21399,Ashirvaad Grand,Yes,No,4.0,115,BTM,Quick Bites,"Chinese, North Indian, South Indian",400,Dine-out
21401,Cafe Mondo,Yes,No,3.7,513,Basavanagudi,Cafe,"Cafe, Italian, Beverages",600,Dine-out
21402,Udupi Grand,Yes,No,3.8,76,Basavanagudi,Quick Bites,"South Indian, North Indian, Chinese",300,Dine-out
21403,Avon Bar & Kitchen,No,No,3.8,105,BTM,Casual Dining,"Andhra, Chinese, North Indian",700,Dine-out
21404,Marwa Restaurant,Yes,Yes,3.5,552,Bannerghatta Road,Casual Dining,"North Indian, Chinese, Fast Food, BBQ",600,Dine-out
21406,Pallavi North Indian Veg Restaurant,No,No,3.7,246,JP Nagar,Casual Dining,"Biryani, North Indian, Chinese",450,Dine-out
21407,Peat & Fire,Yes,No,3.8,0,JP Nagar,Quick Bites,"North Indian, Maharashtrian",700,Dine-out
21408,Gowdru Mane Oota,Yes,No,3.7,83,JP Nagar,Quick Bites,"South Indian, Andhra",400,Dine-out
21410,Tasty Bites,Yes,No,3.8,217,JP Nagar,Quick Bites,North Indian,450,Dine-out
21412,The Foodyz,Yes,No,3.6,43,JP Nagar,Quick Bites,"North Indian, Chinese",500,Dine-out
21415,Upahara Darshini,No,No,4.2,255,Basavanagudi,Quick Bites,South Indian,150,Dine-out
21416,Cafe Arabica,No,No,3.8,69,Bannerghatta Road,"Cafe, Bakery","Cafe, Bakery, Arabian, Fast Food",700,Dine-out
21417,Shanthi Sagar,Yes,No,3.7,520,JP Nagar,Casual Dining,"South Indian, North Indian, Chinese",400,Dine-out
21418,Krishna Vaibhava,Yes,No,3.5,42,BTM,Casual Dining,"North Indian, South Indian",350,Dine-out
21419,Chinese Square,Yes,No,3.9,39,Basavanagudi,Quick Bites,Chinese,200,Dine-out
21420,Smoke - The Sizzler House,Yes,No,3.8,94,Bannerghatta Road,Food Court,"Continental, Chinese, Thai, Italian, BBQ, Steak",1100,Dine-out
21421,Bhukkhad Baba,Yes,No,3.7,133,JP Nagar,Quick Bites,"North Indian, Beverages",250,Dine-out
21422,Prasiddhi Food Corner,Yes,No,3.7,171,JP Nagar,Quick Bites,"Fast Food, North Indian, South Indian",200,Dine-out
21425,Taco Bell,No,No,4.0,910,Bannerghatta Road,Quick Bites,"Mexican, American, Fast Food",600,Dine-out
21426,Sri Rajasthani Foods,Yes,No,3.6,11,JP Nagar,Quick Bites,"Rajasthani, North Indian",200,Dine-out
21427,Smoor,Yes,No,3.6,17,Bannerghatta Road,Dessert Parlor,"Desserts, Cafe, Beverages",900,Dine-out
21428,Udupi Upachar,Yes,No,3.5,7,Banashankari,Quick Bites,"South Indian, North Indian",500,Dine-out
21429,House Of Kebabs,Yes,No,3.9,547,Basavanagudi,Casual Dining,"North Indian, Kebab, Biryani, Chinese",700,Dine-out
21430,Yummy Momos,Yes,No,3.2,4,JP Nagar,Kiosk,"Chinese, Tibetan, Fast Food",200,Dine-out
21431,Green Onion,No,No,3.0,50,Bannerghatta Road,Food Court,Chinese,400,Dine-out
21432,Malabar Cafe,Yes,No,3.4,4,Bannerghatta Road,Quick Bites,"South Indian, Kerala, Biryani",400,Dine-out
21434,Faasos,Yes,No,3.9,313,JP Nagar,Quick Bites,"North Indian, Biryani, Fast Food",500,Dine-out
21435,Pizza Paradise,Yes,No,3.5,61,JP Nagar,Quick Bites,Pizza,500,Dine-out
21436,Chaitanya Grand,No,No,3.6,13,Bannerghatta Road,Quick Bites,"South Indian, North Indian, Chinese",300,Dine-out
21437,Anju's Cafe,No,No,4.1,150,JP Nagar,Quick Bites,"Fast Food, North Indian, Continental",400,Dine-out
21439,Kadala Tarangaa,Yes,No,3.6,130,Banashankari,Casual Dining,"Mangalorean, Seafood, North Indian",600,Dine-out
21440,On The Nose,Yes,No,3.8,616,BTM,Cafe,"Cafe, Italian, Mexican, Chinese",600,Dine-out
21441,Paisa Vasool,Yes,No,3.3,395,Koramangala 7th Block,Quick Bites,North Indian,400,Dine-out
21442,Sri Raghavendra Davanagere Benne Dose Hotel,No,No,4.0,38,JP Nagar,Quick Bites,South Indian,200,Dine-out
21446,Bakers Town,Yes,No,3.5,42,BTM,Cafe,"Cafe, Continental, Fast Food",600,Dine-out
21449,Pathaan Sir,Yes,No,3.3,34,Bannerghatta Road,Quick Bites,"Rolls, Chinese",300,Dine-out
21450,Bake and Juice,Yes,No,3.7,15,BTM,Quick Bites,"Fast Food, North Indian",400,Dine-out
21451,The OnyThe HHI Select Bengaluru,No,No,3.5,177,JP Nagar,Casual Dining,"North Indian, Chinese, Continental",950,Dine-out
21453,The Chocolate Room,Yes,No,3.9,154,JP Nagar,Food Court,"Cafe, Desserts",400,Dine-out
21454,B.M.W Bhookh Mitaane Wala,Yes,No,3.9,15,JP Nagar,Quick Bites,"North Indian, South Indian, Chinese",500,Dine-out
21455,Soup Station,Yes,No,3.7,11,Bannerghatta Road,Quick Bites,Continental,300,Dine-out
21456,Indori Chatorey,Yes,No,2.8,137,BTM,Quick Bites,"North Indian, Street Food",300,Dine-out
21458,Sambram Biriyani Paradise,Yes,No,3.6,96,JP Nagar,Casual Dining,"Biryani, North Indian, Chinese",600,Dine-out
21461,Bao & Grills,No,No,0.0,0,Bannerghatta Road,Food Court,"Chinese, Asian",600,Dine-out
21462,The Biriyani Pedia,Yes,No,4.0,58,BTM,Quick Bites,"Biryani, North Indian",300,Dine-out
21463,Sri Nandi Grand,Yes,No,3.5,7,BTM,Quick Bites,"North Indian, South Indian",300,Dine-out
21466,RK Fresh Food,Yes,No,3.5,14,BTM,Quick Bites,Fast Food,300,Dine-out
21467,Dev's Gugababa,Yes,No,3.1,177,BTM,Quick Bites,"Bengali, North Indian, Chinese",500,Dine-out
21471,Bawarchi Inn,Yes,No,3.0,140,BTM,Casual Dining,"North Indian, Biryani, Andhra, Chinese",600,Dine-out
21475,Chilli Flakes,Yes,No,3.6,47,Banashankari,Quick Bites,"Fast Food, Italian, Beverages",500,Dine-out
21476,Kolkata King,Yes,No,3.6,6,Basavanagudi,Quick Bites,"Fast Food, Rolls",300,Dine-out
21477,SLV Swadishta,No,No,3.8,191,Banashankari,Quick Bites,South Indian,300,Dine-out
21478,Spar Refresh,No,No,3.5,5,Bannerghatta Road,Food Court,"North Indian, South Indian, Pizza",300,Dine-out
21479,Pushpa Darshini,No,No,3.7,20,JP Nagar,Quick Bites,South Indian,100,Dine-out
21480,Delight Food,Yes,No,2.7,174,BTM,Casual Dining,"Andhra, Chinese, Biryani",450,Dine-out
21482,Eat Repeat Express,Yes,No,3.2,20,JP Nagar,Casual Dining,"North Indian, South Indian, Chinese, Biryani, Mexican",700,Dine-out
21483,Bikaner Jn,Yes,No,3.9,85,JP Nagar,Quick Bites,Rajasthani,300,Dine-out
21485,Parathe Wali Gali,Yes,No,3.9,37,Wilson Garden,Quick Bites,North Indian,250,Dine-out
21487,Goli Vada Pav No. 1,Yes,No,3.3,44,JP Nagar,Quick Bites,Street Food,200,Dine-out
21489,Beach Hut,No,No,3.5,134,JP Nagar,Casual Dining,"North Indian, Chinese",650,Dine-out
21491,Marhaba,No,No,3.6,25,Bannerghatta Road,Food Court,"Arabian, Mediterranean, North Indian",500,Dine-out
21492,Shrinidhi Military Hotel,No,No,3.4,6,Basavanagudi,Quick Bites,"North Indian, Mughlai",300,Dine-out
21495,Re Malnad Nati Style Hotel,Yes,No,3.6,16,JP Nagar,Casual Dining,South Indian,400,Dine-out
21497,Cafe Alchemist,Yes,No,3.8,62,BTM,Quick Bites,"Fast Food, Juices",300,Dine-out
21500,Chokha Chowka,Yes,No,3.8,358,BTM,Quick Bites,"North Indian, Chinese",400,Dine-out
21503,Delhi Ke Bawarchi,No,No,4.0,88,JP Nagar,Casual Dining,"North Indian, Chinese, Fast Food",500,Dine-out
21505,Venkateshwara Sweets and Restaurant,No,No,3.6,41,JP Nagar,"Casual Dining, Sweet Shop","South Indian, Mithai, Chinese, North Indian",400,Dine-out
21508,Upahara Darshini,Yes,No,4.0,40,Basavanagudi,Casual Dining,"North Indian, Chinese, South Indian, Fast Food",600,Dine-out
21513,New Shanthi Sagar,No,No,2.7,49,Basavanagudi,Quick Bites,"South Indian, North Indian, Chinese, Street Food",600,Dine-out
21516,As On Fire,Yes,No,3.4,41,South Bangalore,Food Truck,"Pizza, Fast Food, BBQ",400,Dine-out
21518,Targaryen's Kitchen,Yes,No,3.6,43,JP Nagar,Casual Dining,"Chinese, North Indian, Mughlai",600,Dine-out
21519,Flavour of China,Yes,No,3.8,254,BTM,Casual Dining,Chinese,600,Dine-out
21522,SLV Restaurant,No,No,4.1,379,JP Nagar,Quick Bites,"South Indian, North Indian, Chinese",300,Dine-out
21523,Keshava Kabab Centre,No,No,3.2,7,JP Nagar,Quick Bites,North Indian,200,Dine-out
21526,Kabab Mehal,Yes,No,3.7,66,JP Nagar,Quick Bites,"Kebab, North Indian, Fast Food, Beverages",400,Dine-out
21527,Fillers,Yes,No,3.9,139,BTM,Quick Bites,"North Indian, Fast Food",300,Dine-out
21528,Dal Roti,Yes,No,3.7,117,JP Nagar,Quick Bites,North Indian,150,Dine-out
21529,Tiwari's,Yes,No,3.8,75,Bannerghatta Road,Quick Bites,"North Indian, Street Food",200,Dine-out
21533,Cuppa,No,No,3.4,48,JP Nagar,Cafe,Cafe,550,Dine-out
21534,The Pavillion,No,No,2.8,43,JP Nagar,Casual Dining,"North Indian, Continental, South Indian, Chinese",1000,Dine-out
21542,Kamat Swaad,No,No,3.9,194,JP Nagar,Casual Dining,"South Indian, North Indian, Chinese",400,Dine-out
21544,Mast Kalandar,No,No,2.3,176,JP Nagar,Casual Dining,North Indian,450,Dine-out
21546,"Malnad Blossom, Coffee & Cream",No,No,3.8,33,JP Nagar,Cafe,Cafe,300,Dine-out
21547,Hearts Unlock Cafe,No,No,3.1,11,BTM,Cafe,"Cafe, Healthy Food",500,Dine-out
21548,Apna Punjab,Yes,No,3.7,478,BTM,Quick Bites,"North Indian, Chinese, Fast Food",450,Dine-out
21553,Indian Paratha Factory,Yes,No,2.7,24,BTM,Quick Bites,North Indian,250,Dine-out
21557,NEW SUNRISE RESTAURANTS,No,No,2.7,39,JP Nagar,Casual Dining,"North Indian, Chinese, Biryani",500,Dine-out
21561,The Brew - Aurick Boutique Hotel,No,No,3.1,16,JP Nagar,Casual Dining,"North Indian, South Indian, Chinese, Grill",700,Dine-out
21562,The Maori - Aurick Boutique Hotel,No,No,3.5,44,JP Nagar,Casual Dining,"Chinese, North Indian",1000,Dine-out
21563,Targaryen's Kitchen,No,No,3.6,25,JP Nagar,Casual Dining,"North Indian, Bengali, Chinese",550,Dine-out
21564,Amaravati Grand,No,No,3.3,7,BTM,Casual Dining,"Chinese, Andhra, Mangalorean",550,Dine-out
21565,Sea Horse,No,No,3.4,9,JP Nagar,Casual Dining,"Seafood, Chinese, South Indian, North Indian",500,Dine-out
21566,Durbari Restaurant,No,No,3.2,4,JP Nagar,Casual Dining,"North Indian, Chinese, Mughlai",600,Dine-out
21568,Anand Sagar Inn,No,No,3.2,6,Basavanagudi,Casual Dining,"South Indian, North Indian, Chinese",450,Dine-out
21570,Sri Brahmi Kuteera,No,No,3.4,0,JP Nagar,Quick Bites,South Indian,150,Dine-out
21574,Wow Momo,Yes,No,3.4,12,JP Nagar,Quick Bites,"Tibetan, Momos",300,Dine-out
21575,Mangalore Lunch Home,Yes,No,3.7,43,BTM,Quick Bites,"North Indian, South Indian, Mangalorean",250,Dine-out
21576,David's Kitchen,Yes,No,3.7,14,BTM,Quick Bites,"North Indian, South Indian, Chinese",200,Dine-out
21577,Meat And Eat,Yes,No,3.2,4,Wilson Garden,Quick Bites,"Fast Food, Burger",500,Dine-out
21579,Chatar Patar,No,No,3.6,65,Banashankari,Quick Bites,"Fast Food, Street Food",300,Dine-out
21593,Magis Parattha Roll,Yes,No,3.8,185,BTM,Quick Bites,"Fast Food, North Indian, Chinese, Mughlai, Rolls",400,Dine-out
21595,Khan's Biryani,Yes,No,3.0,11,BTM,Quick Bites,"Biryani, North Indian",200,Dine-out
21597,Chicken Corner,Yes,No,3.7,26,BTM,Quick Bites,"Biryani, North Indian, Fast Food, Chinese",400,Dine-out
21601,Rolls On Wheels,No,No,2.8,127,BTM,Quick Bites,"Fast Food, Rolls, Momos",300,Dine-out
21604,Kidambi's Kitchen,No,No,3.4,52,Banashankari,Quick Bites,South Indian,300,Dine-out
21606,Pappu Chaiwalla,No,No,3.6,141,JP Nagar,Quick Bites,"Fast Food, Tea, Beverages",300,Dine-out
21608,Aarya Pork Hotel,No,No,3.4,12,BTM,Quick Bites,"South Indian, Biryani, Chinese",300,Dine-out
21609,Sri Krishna Sagar,No,No,3.5,12,BTM,Quick Bites,"South Indian, North Indian, Chinese",200,Dine-out
21610,Gopal Kabab Centre,No,No,3.4,4,JP Nagar,Quick Bites,North Indian,350,Dine-out
21611,Harshi Super Sandwich,No,No,3.8,149,Basavanagudi,Quick Bites,"Fast Food, Street Food",150,Dine-out
21615,Famous Dum Biriyani,No,No,3.1,6,Wilson Garden,Kiosk,Biryani,200,Dine-out
21622,Ghee Rice Family Restaurant,No,No,3.3,16,Wilson Garden,Casual Dining,"North Indian, Chinese, Biryani",600,Dine-out
21645,Shri Vinayaka Ice N Juice,Yes,No,3.1,12,Basavanagudi,Quick Bites,"Beverages, Fast Food",150,Dine-out
21646,Inchara Restaurant,Yes,No,3.3,0,Basavanagudi,Quick Bites,"North Indian, Chinese",300,Dine-out
21650,Panchami Garden,No,No,3.6,56,Bannerghatta Road,Quick Bites,"South Indian, North Indian",400,Dine-out
21652,Food Junction,No,No,3.6,42,BTM,Quick Bites,"North Indian, Chinese, Street Food, Biryani",400,Dine-out
21661,Shanghai Times,No,No,3.1,23,Bannerghatta Road,Food Court,"Chinese, Asian",450,Dine-out
21664,Essential Kitchen,No,No,3.3,4,Wilson Garden,Quick Bites,"Chinese, Fast Food",500,Dine-out
21669,Amrutha Mess,No,No,3.4,6,BTM,Quick Bites,Kerala,300,Dine-out
21672,Sri Sapana Dhaba,Yes,No,3.2,11,BTM,Quick Bites,North Indian,250,Dine-out
21676,SB FOODS,No,No,3.3,4,JP Nagar,Quick Bites,South Indian,250,Dine-out
21677,Ambur Azad Darbar,No,No,3.1,6,BTM,Quick Bites,"North Indian, Fast Food, Biryani",250,Dine-out
21679,Anamika Roll Centre,No,No,3.2,4,Wilson Garden,Quick Bites,"North Indian, Fast Food, Rolls",300,Dine-out
21687,Naga's,No,No,2.7,20,Bannerghatta Road,Food Court,"Hyderabadi, Andhra, North Indian",500,Dine-out
21692,Thindi Mane,No,No,3.5,6,JP Nagar,Quick Bites,South Indian,300,Dine-out
21694,Shiv Sagar,No,No,3.5,10,Bannerghatta Road,Food Court,"South Indian, Beverages",400,Dine-out
21702,Desi Bites,No,No,3.2,4,Bannerghatta Road,Food Court,Street Food,200,Dine-out
21704,South Indian Kitchen,No,No,3.3,6,JP Nagar,Quick Bites,"Asian, BBQ, South Indian, Chinese",300,Dine-out
21705,Hotel Mirchi Red,No,No,3.1,32,BTM,Quick Bites,"North Indian, Chinese",400,Dine-out
21706,Food And You,Yes,No,3.9,35,BTM,Quick Bites,"North Indian, South Indian, Gujarati",350,Dine-out
21708,Mongolian Kitchen,No,No,3.8,30,BTM,Quick Bites,"Chinese, Mongolian",300,Dine-out
21711,Chilly N Chicken,No,No,3.5,14,JP Nagar,Quick Bites,"Andhra, Biryani",250,Dine-out
21715,Sri Krishna Sagar,No,No,3.1,54,JP Nagar,Quick Bites,"South Indian, North Indian, Chinese, Street Food",300,Dine-out
21718,Fresh Kitchen,Yes,No,3.3,25,Bannerghatta Road,Casual Dining,"North Indian, Chinese",600,Dine-out
21724,Sri Lakshmi Dhaba,Yes,No,3.0,260,BTM,Quick Bites,North Indian,250,Dine-out
21726,Sri Punjabi Dhaba,Yes,No,3.3,50,BTM,Dhaba,North Indian,400,Dine-out
21729,Once Upon a Rooftop,No,Yes,4.3,1248,Jayanagar,"Casual Dining, Bar","Pizza, Italian, Chinese, Thai",1000,Drinks & nightlife
21730,55 Wall Street,No,Yes,3.9,1786,JP Nagar,Bar,"Finger Food, North Indian, Chinese",1300,Drinks & nightlife
21731,Crumb Together,Yes,Yes,4.1,592,JP Nagar,"Casual Dining, Bar","Continental, Finger Food, North Indian, Chinese",1200,Drinks & nightlife
21732,Brew Meister,Yes,Yes,4.1,975,Jayanagar,"Microbrewery, Casual Dining","North Indian, Continental, Finger Food, American, Asian",1500,Drinks & nightlife
21733,Salut,Yes,Yes,4.1,446,Jayanagar,"Pub, Casual Dining","Continental, Finger Food, Seafood, Pizza",1200,Drinks & nightlife
21734,The Lounge - Eden Park Restaurants,No,Yes,3.8,152,Jayanagar,Lounge,"North Indian, Afghan",1350,Drinks & nightlife
21735,Clove Rooftop,No,Yes,3.8,234,Jayanagar,Casual Dining,"Konkan, Seafood",1000,Drinks & nightlife
21736,The Pump House,No,No,4.3,697,JP Nagar,Microbrewery,"Continental, Finger Food",1500,Drinks & nightlife
21737,Levitate Brewery and Kitchen,No,Yes,4.5,456,JP Nagar,"Microbrewery, Casual Dining","Finger Food, North Indian, Continental",1500,Drinks & nightlife
21738,Deja Vu Resto Bar,Yes,Yes,4.4,2499,Bannerghatta Road,Pub,"North Indian, Italian",900,Drinks & nightlife
21739,Brewsky,Yes,Yes,4.3,4323,JP Nagar,Microbrewery,"Continental, American",1600,Drinks & nightlife
